time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-04T11:03:14.920Z,17.9195,-66.8478,11,2.86,md,19,215,0.0639,0.15,pr,pr2020095018,2020-04-04T11:29:37.040Z,"7km SSE of Maria Antonia, Puerto Rico",earthquake,0.71,0.54,0.35,17,reviewed,pr,pr
2020-04-04T10:38:13.549Z,-20.6766,-68.8769,108.99,4.2,mb,,44,0.592,0.64,us,us70008nk4,2020-04-04T10:59:24.040Z,"141km ESE of Iquique, Chile",earthquake,5.8,5.9,0.175,9,reviewed,us,us
2020-04-04T10:02:44.160Z,38.0526657,-121.9120026,16.58,2.51,md,45,62,0.08604,0.24,nc,nc73363645,2020-04-04T23:54:28.956Z,"4km NW of Pittsburg, CA",earthquake,0.32,0.77,0.13,46,automatic,nc,nc
2020-04-04T09:24:18.243Z,-19.4943,-173.236,10,5.3,mb,,48,8.441,0.73,us,us70008ni4,2020-04-04T09:46:56.040Z,"121km ENE of Pangai, Tonga",earthquake,11,1.8,0.035,275,reviewed,us,us
2020-04-04T08:49:04.570Z,40.744,-112.0406667,9.47,2.65,ml,43,37,0.01742,0.18,uu,uu60373827,2020-04-05T00:52:45.748Z,"5km NE of Magna, Utah",earthquake,0.27,0.53,0.148,15,reviewed,uu,uu
2020-04-04T08:22:06.180Z,-11.0018,164.4003,10,4.8,mb,,60,4.65,0.83,us,us70008nh6,2020-04-04T08:43:13.040Z,"159km WSW of Lata, Solomon Islands",earthquake,4.4,1.9,0.109,26,reviewed,us,us
2020-04-04T07:25:05.240Z,17.9916,-66.832,14,2.7,md,19,156,0.05,0.11,pr,pr2020095013,2020-04-04T08:41:14.241Z,"1km WSW of Indios, Puerto Rico",earthquake,0.39,0.39,0.28,18,reviewed,pr,pr
2020-04-04T07:19:33.809Z,44.4202,-115.2426,10,3.1,ml,,25,0.858,0.74,us,us70008nfn,2020-04-04T08:55:22.040Z,"64km E of Cascade, Idaho",earthquake,4.4,2,0.038,92,reviewed,us,us
2020-04-04T07:05:43.000Z,17.8573,-66.8726,12,2.76,md,20,248,0.118,0.24,pr,pr2020095012,2020-04-04T07:47:05.831Z,"13km SSE of Guanica, Puerto Rico",earthquake,0.85,0.64,0.37,17,reviewed,pr,pr
2020-04-04T06:18:25.522Z,54.8309,166.1747,20.69,5.4,mww,,112,4.801,0.69,us,us70008nel,2020-04-04T08:21:51.466Z,"42km SSE of Nikol'skoye, Russia",earthquake,8.6,6.3,0.078,16,reviewed,us,us
2020-04-04T06:15:01.349Z,44.4428,-115.2111,10,2.6,ml,,57,0.855,0.65,us,us70008nei,2020-04-04T15:22:43.540Z,"66km E of Cascade, Idaho",earthquake,2.5,2,0.048,58,reviewed,us,us
2020-04-04T05:33:40.020Z,17.962,-66.9841,4,2.51,md,14,192,0.0606,0.19,pr,pr2020095008,2020-04-04T06:09:04.419Z,"6km ESE of La Parguera, Puerto Rico",earthquake,0.41,0.37,0.22,11,reviewed,pr,pr
2020-04-04T05:12:35.150Z,33.4921667,-116.5118333,9.85,3.46,mw,146,27,0.0671,0.2,ci,ci39128103,2020-04-05T00:46:46.475Z,"16km ESE of Anza, CA",earthquake,0.1,0.27,,4,reviewed,ci,ci
2020-04-04T04:54:43.732Z,-31.2087,-68.8786,104.93,4.9,mww,,30,0.374,1.1,us,us70008nd5,2020-04-04T16:53:03.899Z,"40km NNW of Zonda, Argentina",earthquake,6.9,5,0.068,21,reviewed,us,us
2020-04-04T04:36:08.688Z,44.3848,-115.1455,10,3.1,ml,,50,0.93,1.05,us,us70008ncs,2020-04-04T14:22:45.790Z,"72km ESE of Cascade, Idaho",earthquake,1.8,2,0.039,88,reviewed,us,us
2020-04-04T04:07:22.120Z,33.4913333,-116.5188333,9.62,3.6,mw,147,26,0.06677,0.22,ci,ci39127679,2020-04-04T22:52:23.794Z,"16km ESE of Anza, CA",earthquake,0.11,0.3,,6,reviewed,ci,ci
2020-04-04T04:02:05.745Z,44.5095,-115.2092,10,2.5,ml,,42,0.807,0.91,us,us70008nc5,2020-04-04T04:27:37.040Z,"66km E of Cascade, Idaho",earthquake,2.6,2,0.056,42,reviewed,us,us
2020-04-04T03:55:31.023Z,28.633,129.2715,77.09,4.8,mb,,101,1.997,1.04,us,us70008nc1,2020-04-04T04:11:04.040Z,"36km NW of Naze, Japan",earthquake,8.4,7.9,0.073,58,reviewed,us,us
2020-04-04T03:44:15.129Z,37.4547,-115.0519,5.3,2.5,ml,7,66.88,0.048,0.2266,nn,nn00721102,2020-04-04T16:57:21.863Z,"14km NE of Alamo, Nevada",earthquake,,1.6,0.58,4,reviewed,nn,nn
2020-04-04T03:33:08.050Z,36.37616667,-97.718,5,3.6,mwr,93,35,0,0.21,ok,ok2020gqai,2020-04-05T00:59:40.777Z,"14km E of Enid, Oklahoma",earthquake,,0.4,,43,reviewed,ok,us
2020-04-04T03:17:46.630Z,35.0101667,-118.4986667,2.35,3.49,mw,142,19,0.1304,0.24,ci,ci39127167,2020-04-05T01:14:48.840Z,"14km SSW of Tehachapi, CA",earthquake,0.13,0.48,,4,reviewed,ci,ci
